Date,Sales
15-10-2018,36
22-10-2018,43
29-10-2018,50
05-11-2018,31
12-11-2018,42
19-11-2018,22
26-11-2018,42
03-12-2018,34
10-12-2018,42
17-12-2018,67
24-12-2018,25
31-12-2018,28
07-01-2019,21
14-01-2019,34
21-01-2019,34
28-01-2019,36
04-02-2019,40
11-02-2019,28
18-02-2019,31
25-02-2019,40
04-03-2019,39
11-03-2019,37
18-03-2019,43
25-03-2019,46
01-04-2019,66
08-04-2019,237
15-04-2019,41
22-04-2019,83
29-04-2019,42
06-05-2019,59
13-05-2019,45
20-05-2019,28
27-05-2019,40
03-06-2019,59
10-06-2019,28
17-06-2019,57
24-06-2019,35
01-07-2019,48
08-07-2019,56
15-07-2019,58
22-07-2019,49
29-07-2019,66
05-08-2019,45
12-08-2019,54
19-08-2019,35
26-08-2019,46
02-09-2019,50
09-09-2019,46
16-09-2019,37
23-09-2019,48
30-09-2019,50
07-10-2019,45
14-10-2019,43
21-10-2019,42
28-10-2019,28
04-11-2019,32
11-11-2019,35
18-11-2019,34
25-11-2019,33
02-12-2019,35
09-12-2019,32
16-12-2019,72
23-12-2019,33
30-12-2019,32
06-01-2020,27
13-01-2020,23
20-01-2020,24
27-01-2020,37
03-02-2020,24
10-02-2020,33
17-02-2020,47
24-02-2020,39
02-03-2020,54
09-03-2020,26
16-03-2020,28
23-03-2020,9
30-03-2020,17
06-04-2020,13
13-04-2020,16
20-04-2020,15
27-04-2020,17
04-05-2020,19
11-05-2020,23
18-05-2020,13
25-05-2020,24
01-06-2020,24
08-06-2020,25
15-06-2020,40
22-06-2020,34
29-06-2020,10
06-07-2020,5
13-07-2020,19
20-07-2020,38
27-07-2020,31
03-08-2020,22
10-08-2020,30
17-08-2020,28
24-08-2020,25
31-08-2020,31
07-09-2020,27
14-09-2020,27
21-09-2020,18
28-09-2020,21
05-10-2020,13
12-10-2020,18
19-10-2020,16
26-10-2020,20
02-11-2020,20
09-11-2020,21
16-11-2020,16
23-11-2020,16
30-11-2020,23
07-12-2020,18
14-12-2020,37
21-12-2020,13
28-12-2020,17
04-01-2021,19
11-01-2021,18
18-01-2021,14
25-01-2021,18
01-02-2021,16
08-02-2021,14
15-02-2021,16
22-02-2021,15
01-03-2021,26
08-03-2021,19
15-03-2021,24
22-03-2021,24
29-03-2021,16
05-04-2021,18
